MWP	ONames	GLON	GLAT	iXdiam	iYdiam	oXdiam	Reff	Thick	Ecc	PA	Hit	Disp	Flag	_RA.icrs	_DE.icrs
1G008828-003841	CN122               	008.828	-00.384	 1.435	  1.342	 2.436	 0.91	 1.00	 0.354	 37	 0.36	 0.003	   	271.6888	-21.5007
1G043279-004475	                    	043.279	-00.447	 1.928	  2.017	 2.913	 1.21	 0.98	 0.293	 26	 0.36	 0.007	   	288.0200	+08.9916
1G024190-000332	                    	024.190	-00.033	 1.503	  1.530	 2.453	 0.97	 0.95	 0.186	  5	 0.36	 0.004	   	278.8782	-07.7891
1G310175-002488	                    	310.175	-00.249	 1.190	  1.182	 2.159	 0.80	 0.97	 0.113	 12	 0.36	 0.004	   	208.5616	-62.2342
1G297515-007773	                    	297.515	-00.777	 0.677	  0.723	 1.139	 0.45	 0.46	 0.352	 21	 0.36	 0.002	2  	180.8002	-63.1403
1G334311-000988	                    	334.311	-00.099	 1.489	  1.377	 2.187	 0.87	 0.70	 0.380	 41	 0.36	 0.007	   	246.1851	-49.5177
1G303056+001645	                    	303.056	+00.164	 2.240	  2.206	 4.457	 1.57	 2.22	 0.176	 18	 0.36	 0.010	1  	193.1301	-62.7075
1G002441+004805	CN30                	002.441	+00.481	 1.477	  1.594	 2.124	 0.92	 0.65	 0.376	 37	 0.36	 0.002	   	267.3678	-26.5986
1G044503+003373	                    	044.503	+00.337	 1.226	  1.278	 2.006	 0.80	 0.78	 0.283	 21	 0.36	 0.004	   	287.8895	+10.4394
1G061055-008256	                    	061.055	-00.826	 1.086	  1.086	 1.887	 0.72	 0.80	 0.031	  4	 0.36	 0.002	   	297.3402	+24.3868
1G028028-000333	N47                 	028.028	-00.033	 3.071	  2.972	 4.834	 1.90	 1.76	 0.252	  9	 0.35	 0.010	   	280.6485	-04.3784
1G326044-004989	                    	326.044	-00.499	 4.375	  4.420	 6.682	 2.71	 2.31	 0.143	 27	 0.35	 0.020	   	236.4986	-55.3355
1G304263-003919	                    	304.263	-00.392	 1.251	  1.247	 1.999	 0.79	 0.75	 0.077	 17	 0.35	 0.003	   	195.8160	-63.2332
1G026308+000701	                    	026.308	+00.070	 1.200	  1.299	 1.943	 0.79	 0.74	 0.382	 48	 0.35	 0.004	   	279.7658	-05.8604
1G012824+005433	                    	012.824	+00.543	 1.825	  1.852	 3.374	 1.25	 1.55	 0.171	 27	 0.35	 0.006	   	272.8821	-17.5557
1G328998+009559	                    	328.998	+00.956	 1.499	  1.437	 2.557	 0.96	 1.06	 0.285	 42	 0.35	 0.005	   	238.8510	-52.3490
1G351238-000155	                    	351.238	-00.016	 0.660	  0.662	 1.166	 0.44	 0.51	 0.081	  0	 0.35	 0.003	   	260.7699	-36.3064
1G005769-009319	                    	005.769	-00.932	 1.885	  1.957	 3.031	 1.21	 1.15	 0.269	 14	 0.35	 0.003	   	270.5779	-24.4351
1G311456+007512	                    	311.456	+00.751	 4.167	  4.399	 6.053	 2.57	 1.89	 0.321	 13	 0.35	 0.013	   	210.6254	-60.9392
1G029158-002619	N51                 	029.158	-00.262	 3.022	  3.147	 4.585	 1.89	 1.56	 0.279	 24	 0.35	 0.006	   	281.3702	-03.4779
1G043920-008216	                    	043.920	-00.822	 3.217	  3.541	 5.437	 2.17	 2.22	 0.418	 22	 0.35	 0.024	   	288.6576	+09.3855
1G043395+005650	                    	043.395	+00.565	 1.043	  1.141	 1.645	 0.68	 0.60	 0.406	 13	 0.35	 0.003	2  	287.1647	+09.5618
1G028893-007917	                    	028.893	-00.792	 0.585	  0.589	 1.023	 0.39	 0.44	 0.112	  1	 0.35	 0.002	   	281.7216	-03.9555
1G321119-004957	                    	321.119	-00.496	 5.543	  4.972	 8.525	 3.29	 2.98	 0.442	 32	 0.35	 0.047	1  	229.1210	-58.1510
1G041132-005548	                    	041.132	-00.555	 1.301	  1.225	 2.178	 0.82	 0.88	 0.337	 13	 0.35	 0.005	2  	287.1155	+07.0374
1G025372-001767	N38,N39             	025.372	-00.177	 4.826	  4.549	 7.441	 2.93	 2.61	 0.334	 44	 0.35	 0.028	   	279.5547	-06.8054
1G338283-003672	                    	338.283	-00.367	 1.222	  1.132	 1.825	 0.72	 0.60	 0.378	 45	 0.35	 0.005	   	250.5281	-46.7859
1G345434+002068	                    	345.434	+00.207	 1.470	  1.511	 2.437	 0.96	 0.97	 0.231	 25	 0.35	 0.004	   	256.1872	-40.8813
1G019505-001900	N25                 	019.505	-00.190	 1.140	  1.094	 1.972	 0.74	 0.83	 0.282	 22	 0.35	 0.004	   	276.8188	-12.0152
1G006200-003369	CN79                	006.200	-00.337	 1.491	  1.413	 2.546	 0.95	 1.06	 0.318	  8	 0.35	 0.003	   	270.2449	-23.7663
1G305687+000984	                    	305.687	+00.098	 1.298	  1.296	 2.245	 0.85	 0.95	 0.049	 14	 0.35	 0.003	   	198.8640	-62.6452
1G327528-008503	S74                 	327.528	-00.850	 2.044	  1.868	 3.234	 1.24	 1.19	 0.406	 49	 0.35	 0.007	2  	238.8974	-54.6774
1G062368-005384	N130                	062.368	-00.538	 1.334	  1.414	 2.198	 0.88	 0.86	 0.332	 13	 0.35	 0.005	   	297.8038	+25.6636
1G049586-003716	                    	049.586	-00.372	 1.971	  1.894	 3.065	 1.21	 1.09	 0.277	  7	 0.35	 0.009	1 2	290.9659	+14.6017
1G321158+000052	                    	321.158	+00.005	 1.556	  1.553	 2.721	 1.03	 1.17	 0.065	 25	 0.35	 0.005	   	228.6895	-57.7038
1G043434+005189	                    	043.434	+00.519	 1.059	  1.044	 1.766	 0.68	 0.71	 0.169	  3	 0.35	 0.003	   	287.2244	+09.5753
1G033284-003298	                    	033.284	-00.330	 1.247	  1.172	 2.105	 0.79	 0.86	 0.341	 16	 0.35	 0.003	   	283.3137	+00.1629
1G050662-005234	                    	050.662	-00.523	 1.077	  1.083	 1.923	 0.72	 0.85	 0.105	  1	 0.35	 0.002	   	291.6319	+15.4774
1G345580-000391	                    	345.580	-00.039	 2.527	  2.496	 4.133	 1.61	 1.61	 0.154	  6	 0.35	 0.008	1  	256.5632	-40.9137
1G299064+002144	                    	299.064	+00.214	 4.132	  4.479	 6.070	 2.59	 1.94	 0.386	 60	 0.35	 0.021	   	184.4858	-62.4059
1G320116-004855	                    	320.116	-00.486	 2.455	  2.384	 3.974	 1.54	 1.52	 0.238	 20	 0.35	 0.007	1  	227.4713	-58.6601
1G328574-005568	                    	328.574	-00.557	 1.386	  1.469	 2.136	 0.88	 0.75	 0.331	  2	 0.35	 0.003	2  	239.9389	-53.7779
1G358383-008437	                    	358.383	-00.844	 2.626	  2.497	 4.176	 1.62	 1.55	 0.310	 55	 0.35	 0.008	   	266.2631	-30.7560
1G355662+003775	                    	355.662	+00.377	 0.599	  0.603	 1.241	 0.43	 0.64	 0.113	 15	 0.35	 0.002	   	263.3478	-32.4076
1G307318+008643	                    	307.318	+00.864	 1.239	  1.269	 1.807	 0.76	 0.57	 0.218	 26	 0.35	 0.003	   	202.1389	-61.6912
1G350326+001417	CS105               	350.326	+00.142	 1.282	  1.334	 2.165	 0.85	 0.88	 0.276	 14	 0.34	 0.004	   	259.9611	-36.9664
1G024763+006252	                    	024.763	+00.625	 1.854	  1.962	 3.073	 1.22	 1.22	 0.326	 13	 0.34	 0.005	2  	278.5553	-06.9775
1G329298-003885	                    	329.298	-00.389	 0.660	  0.668	 1.322	 0.47	 0.66	 0.155	 17	 0.34	 0.001	   	240.6724	-53.1764
1G328561-005077	                    	328.561	-00.508	 3.461	  3.678	 5.162	 2.17	 1.70	 0.338	 18	 0.34	 0.027	1  	239.8682	-53.7492
1G306742+002620	S147                	306.742	+00.262	 2.416	  2.602	 3.794	 1.56	 1.38	 0.372	 54	 0.34	 0.009	   	201.0962	-62.3658
1G014913-004121	                    	014.913	-00.412	 1.161	  1.089	 1.977	 0.74	 0.82	 0.347	 15	 0.34	 0.003	   	274.8003	-16.1750
1G050302+006756	                    	050.302	+00.676	 1.617	  1.633	 2.616	 1.03	 1.00	 0.141	 17	 0.34	 0.006	   	290.3584	+15.7274
1G053174+001497	                    	053.174	+00.150	 1.683	  2.315	 2.685	 1.22	 1.00	 0.687	 17	 0.34	 0.004	2  	292.2660	+18.0060
1G028610-000090	                    	028.610	-00.009	 1.652	  1.500	 2.501	 0.98	 0.85	 0.420	 21	 0.34	 0.006	   	280.8938	-03.8498
1G047580-000727	                    	047.580	-00.073	 0.937	  0.949	 1.656	 0.63	 0.72	 0.160	 36	 0.34	 0.004	   	289.7223	+12.9723
1G006158-006085	CN78                	006.158	-00.609	 1.147	  1.167	 2.075	 0.78	 0.93	 0.182	 17	 0.34	 0.003	   	270.4806	-23.9374
1G014883-003104	                    	014.883	-00.310	 2.463	  2.337	 3.564	 1.45	 1.10	 0.316	 34	 0.34	 0.005	   	274.6919	-16.1532
1G319879+008062	S98                 	319.879	+00.806	 1.762	  2.105	 2.830	 1.20	 1.07	 0.547	  7	 0.34	 0.009	   	225.8682	-57.6549
1G037297+004595	                    	037.297	+00.459	 1.231	  1.309	 1.976	 0.80	 0.75	 0.340	 35	 0.34	 0.003	   	284.4436	+04.0938
1G346272+001125	                    	346.272	+00.112	 2.187	  2.477	 3.577	 1.47	 1.39	 0.469	 62	 0.34	 0.012	   	256.9520	-40.2699
1G005190-002877	CN64                	005.190	-00.288	 1.410	  1.432	 2.175	 0.88	 0.77	 0.176	 29	 0.34	 0.008	   	269.6475	-24.6180
1G308080-004027	                    	308.080	-00.403	 1.250	  1.300	 1.984	 0.80	 0.73	 0.275	 13	 0.34	 0.007	   	204.1883	-62.8209
1G302819-008411	                    	302.819	-00.841	 1.278	  1.342	 2.092	 0.83	 0.81	 0.306	  2	 0.34	 0.004	   	192.6045	-63.7125
1G323967+006905	                    	323.967	+00.690	 5.537	  4.442	 8.191	 3.09	 2.65	 0.597	 16	 0.34	 0.015	   	232.3022	-55.6015
1G345929-001302	                    	345.929	-00.130	 0.580	  0.587	 0.900	 0.36	 0.32	 0.154	 12	 0.34	 0.003	   	256.9364	-40.6895
1G310670-004461	S140                	310.670	-00.446	 1.434	  1.426	 2.377	 0.92	 0.94	 0.104	 14	 0.34	 0.007	   	209.6973	-62.3016
1G359955-005070	CS1                 	359.955	-00.507	 3.358	  2.794	 5.553	 2.01	 2.19	 0.555	 30	 0.34	 0.008	   	266.8741	-29.2379
1G343522-000060	S16                 	343.522	-00.006	 0.558	  0.533	 1.016	 0.37	 0.46	 0.295	 16	 0.34	 0.002	2  	254.8443	-42.5233
1G340584+003512	                    	340.584	+00.351	 0.521	  0.547	 0.850	 0.34	 0.33	 0.306	 38	 0.34	 0.001	2  	251.8991	-44.5738
1G035652-000348	N68                 	035.652	-00.035	 5.033	  6.058	 7.123	 3.25	 2.09	 0.556	 64	 0.34	 0.023	1  	284.1317	+02.4047
1G052231+007378	N113                	052.231	+00.738	 0.950	  0.862	 1.559	 0.59	 0.61	 0.420	 11	 0.34	 0.002	2  	291.2517	+17.4570
1G042836+002567	                    	042.836	+00.257	 1.855	  1.878	 2.778	 1.14	 0.92	 0.155	  4	 0.34	 0.005	   	287.1807	+08.9238
1G303976-000371	                    	303.976	-00.037	 1.448	  1.332	 2.375	 0.90	 0.93	 0.392	 30	 0.34	 0.004	   	195.1511	-62.8902
1G328963+002273	                    	328.963	+00.227	 2.028	  1.871	 3.401	 1.27	 1.37	 0.385	 13	 0.34	 0.016	1  	239.5807	-52.9292
1G046175+005351	                    	046.175	+00.535	 1.176	  1.177	 1.921	 0.75	 0.74	 0.023	 17	 0.34	 0.003	   	288.5005	+12.0128
1G353085+003151	CS62                	353.085	+00.315	 6.683	  7.023	 9.577	 4.09	 2.89	 0.308	 29	 0.34	 0.045	   	261.7072	-34.5924
1G010078-004186	                    	010.078	-00.419	 2.142	  2.299	 3.406	 1.39	 1.26	 0.363	 13	 0.34	 0.004	2  	272.3716	-20.4250
1G015684-002904	                    	015.684	-00.290	 6.869	  6.766	 9.236	 3.96	 2.37	 0.173	 14	 0.34	 0.020	   	275.0669	-15.4378
1G304927+005553	                    	304.927	+00.555	 1.398	  1.311	 2.439	 0.90	 1.04	 0.346	  7	 0.33	 0.004	2  	197.1473	-62.2503
1G031890-003336	                    	031.890	-00.334	 4.889	  5.031	 7.423	 3.05	 2.53	 0.236	 44	 0.33	 0.016	2  	282.6816	-01.0796
1G310627-004275	                    	310.627	-00.428	 1.354	  1.260	 2.490	 0.89	 1.14	 0.366	 20	 0.33	 0.003	   	209.5980	-62.2952
1G030342+003810	                    	030.342	+00.381	 0.763	  0.764	 1.264	 0.49	 0.50	 0.052	 19	 0.33	 0.002	   	281.3386	-02.1309
1G024464+004973	                    	024.464	+00.497	 1.913	  1.956	 3.139	 1.24	 1.23	 0.206	 27	 0.33	 0.009	1  	278.5309	-07.3018
1G047866-008511	                    	047.866	-00.851	 1.020	  1.035	 1.810	 0.68	 0.79	 0.174	 15	 0.33	 0.003	   	290.5648	+12.8594
1G017010+009109	                    	017.010	+00.911	 1.050	  1.052	 1.865	 0.70	 0.81	 0.052	 17	 0.33	 0.002	2  	274.6206	-13.7017
1G343554-000482	                    	343.554	-00.048	 0.780	  0.781	 1.392	 0.52	 0.61	 0.060	  0	 0.33	 0.003	   	254.9160	-42.5242
1G339196-005694	                    	339.196	-00.569	 1.013	  1.155	 1.527	 0.66	 0.51	 0.481	  3	 0.33	 0.003	2  	251.6176	-46.2273
1G030993-000734	                    	030.993	-00.073	 0.532	  0.602	 0.991	 0.38	 0.46	 0.468	 28	 0.33	 0.003	   	282.0401	-01.7588
1G006365-000535	CN82                	006.365	-00.054	 0.517	  0.653	 0.928	 0.38	 0.41	 0.611	 15	 0.33	 0.003	2  	270.0661	-23.4826
1G063137+002452	                    	063.137	+00.245	 1.414	  1.398	 2.629	 0.96	 1.21	 0.148	  8	 0.33	 0.004	   	297.4895	+26.7242
1G329380+003922	                    	329.380	+00.392	 2.939	  3.108	 4.521	 1.87	 1.58	 0.325	 39	 0.33	 0.008	   	239.9271	-52.5328
1G333236-002965	                    	333.236	-00.297	 4.857	  5.055	 7.183	 3.00	 2.33	 0.278	 26	 0.33	 0.018	1  	245.2254	-50.4198
1G332287+005250	                    	332.287	+00.525	 1.603	  1.614	 2.506	 1.00	 0.90	 0.112	 40	 0.33	 0.005	   	243.2564	-50.4889
1G001087-000113	                    	001.087	-00.011	 2.297	  2.559	 3.621	 1.51	 1.32	 0.441	  5	 0.33	 0.004	1  	267.0571	-28.0125
1G307398-005814	                    	307.398	-00.581	 1.156	  1.227	 1.711	 0.72	 0.56	 0.335	 28	 0.33	 0.003	1  	202.7724	-63.1084
1G336884-007525	                    	336.884	-00.753	 1.124	  1.117	 1.792	 0.71	 0.67	 0.108	  9	 0.33	 0.003	   	249.5826	-48.0886
1G026593+000972	N43                 	026.593	+00.097	 1.168	  1.160	 1.968	 0.76	 0.80	 0.119	 15	 0.33	 0.005	   	279.8730	-05.5947
1G352320+000094	CS71                	352.320	+00.009	 9.856	  9.686	14.442	 5.92	 4.59	 0.185	 44	 0.33	 0.040	1  	261.4953	-35.3978
1G354668+002549	CS45                	354.668	+00.255	 2.908	  3.147	 4.237	 1.82	 1.33	 0.383	 37	 0.33	 0.012	   	262.8229	-33.3067
1G030250+002413	                    	030.250	+00.241	 0.890	  0.978	 1.484	 0.60	 0.59	 0.415	  7	 0.33	 0.003	   	281.4213	-02.2767
1G328817-000040	                    	328.817	-00.004	 0.870	  0.907	 1.582	 0.60	 0.71	 0.283	  9	 0.33	 0.003	   	239.6449	-53.1997
1G322398+002040	                    	322.398	+00.204	 1.174	  1.174	 2.008	 0.77	 0.83	 0.026	  8	 0.33	 0.004	1  	230.4367	-56.8757
1G017011-000545	                    	017.011	-00.054	 2.013	  2.110	 3.017	 1.26	 1.00	 0.300	 23	 0.33	 0.011	   	275.4978	-14.1560
1G340886-003596	                    	340.886	-00.360	 0.786	  0.650	 1.223	 0.46	 0.44	 0.564	 59	 0.33	 0.003	   	252.9388	-44.7981
1G347910+000557	                    	347.910	+00.056	 0.774	  0.779	 1.333	 0.51	 0.56	 0.107	 15	 0.33	 0.003	2  	258.2724	-38.9846
1G010748-004703	N2                  	010.748	-00.470	 9.943	 11.068	13.790	 6.14	 3.85	 0.439	 40	 0.33	 0.054	1  	272.7638	-19.8630
1G338345-001594	                    	338.345	-00.159	 0.571	  0.598	 0.975	 0.38	 0.40	 0.295	 24	 0.33	 0.001	   	250.3599	-46.6020
1G031613+003353	                    	031.613	+00.335	 2.350	  2.419	 3.586	 1.47	 1.24	 0.237	 15	 0.33	 0.004	   	281.9598	-01.0210
1G014587+000967	                    	014.587	+00.097	 8.347	  8.342	11.347	 4.86	 3.00	 0.035	 33	 0.33	 0.051	1  	274.1726	-16.2208
1G337530-004036	                    	337.530	-00.404	 0.905	  0.961	 1.584	 0.61	 0.68	 0.338	 40	 0.33	 0.002	   	249.8364	-47.3745
1G327648-003352	                    	327.648	-00.335	 2.318	  2.536	 3.795	 1.54	 1.48	 0.406	 27	 0.33	 0.013	1  	238.4908	-54.2045
1G045678-000055	                    	045.678	-00.005	 0.668	  0.682	 1.255	 0.46	 0.59	 0.201	  2	 0.33	 0.002	   	288.7530	+11.3218
1G333049+007283	                    	333.049	+00.728	 1.002	  1.142	 1.719	 0.69	 0.72	 0.480	 14	 0.33	 0.004	   	243.9001	-49.8168
1G342286+002891	                    	342.286	+00.289	 4.270	  4.126	 5.959	 2.49	 1.69	 0.257	 47	 0.33	 0.010	   	253.4751	-43.3039
1G030845+001399	                    	030.845	+00.140	 1.498	  1.581	 2.380	 0.97	 0.88	 0.319	 24	 0.33	 0.005	   	281.7829	-01.7934
1G022991-003666	                    	022.991	-00.367	 2.448	  2.846	 3.649	 1.60	 1.20	 0.510	 37	 0.33	 0.009	   	278.6199	-09.0072
1G312949+002628	                    	312.949	+00.263	 1.004	  0.979	 1.792	 0.66	 0.79	 0.222	 30	 0.33	 0.002	   	213.8601	-60.9645
1G356562-000829	CS26                	356.562	-00.083	 1.284	  1.285	 1.939	 0.79	 0.66	 0.048	 48	 0.33	 0.003	   	264.3794	-31.8987
1G320281+004505	                    	320.281	+00.450	 3.995	  3.823	 6.581	 2.52	 2.59	 0.290	 34	 0.33	 0.033	1  	226.8510	-57.7676
1G299776-002838	S173                	299.776	-00.284	 1.177	  1.194	 1.930	 0.76	 0.75	 0.168	 33	 0.33	 0.004	   	185.8980	-62.9850
1G334429+003344	                    	334.429	+00.334	 0.895	  0.948	 1.454	 0.58	 0.56	 0.332	 19	 0.33	 0.005	   	245.8390	-49.1297
1G007642-000884	                    	007.642	-00.088	 3.503	  2.864	 5.068	 1.94	 1.56	 0.576	 18	 0.33	 0.012	   	270.7841	-22.3895
1G301126-001547	S169                	301.126	-00.155	 5.178	  5.253	 7.917	 3.22	 2.74	 0.169	 25	 0.33	 0.017	1  	188.8830	-62.9710
1G304514+006536	                    	304.514	+00.654	 3.132	  3.042	 4.162	 1.78	 1.03	 0.239	 62	 0.33	 0.009	   	196.2503	-62.1761
1G019065-002781	                    	019.065	-00.278	 1.472	  1.532	 2.308	 0.94	 0.84	 0.276	 16	 0.33	 0.004	2  	276.6888	-12.4455
1G056895+004700	                    	056.895	+00.470	 3.756	  3.416	 5.897	 2.27	 2.14	 0.416	 33	 0.32	 0.011	   	293.8758	+21.4196
1G299692-005971	                    	299.692	-00.597	 1.576	  1.601	 2.890	 1.07	 1.31	 0.176	 22	 0.32	 0.009	   	185.6372	-63.2869
1G052321-001340	                    	052.321	-00.134	 0.587	  0.578	 1.042	 0.39	 0.45	 0.177	 17	 0.32	 0.002	   	292.0998	+17.1211
1G329338+001292	                    	329.338	+00.129	 1.411	  1.377	 2.227	 0.88	 0.82	 0.219	 11	 0.32	 0.004	   	240.1576	-52.7595
1G045196-004386	                    	045.196	-00.439	 1.425	  1.324	 2.339	 0.89	 0.91	 0.370	 37	 0.32	 0.003	   	288.9159	+10.6932
1G058604+006396	N124                	058.604	+00.640	 2.782	  2.786	 3.990	 1.67	 1.21	 0.053	 16	 0.32	 0.008	   	294.6175	+22.9937
1G358634-004796	CS11                	358.634	-00.480	 0.766	  0.766	 1.359	 0.51	 0.59	 0.044	 40	 0.32	 0.003	   	266.0551	-30.3517
1G344934-002252	                    	344.934	-00.225	 0.748	  0.661	 1.178	 0.45	 0.43	 0.468	 14	 0.32	 0.001	   	256.2412	-41.5409
1G349905+001614	                    	349.905	+00.161	 0.686	  0.731	 1.207	 0.47	 0.52	 0.344	  8	 0.32	 0.001	2  	259.6385	-37.3003
1G345238-004100	                    	345.238	-00.410	 1.008	  1.067	 1.719	 0.67	 0.71	 0.329	 23	 0.32	 0.004	   	256.6830	-41.4102
1G059602+003212	N126                	059.602	+00.321	 2.801	  2.783	 4.556	 1.78	 1.76	 0.112	  9	 0.32	 0.008	   	295.4557	+23.7046
1G007039+001763	CN93                	007.039	+00.176	 1.237	  1.227	 1.954	 0.77	 0.72	 0.126	  7	 0.32	 0.002	   	270.2127	-22.7833
1G020991+000963	                    	020.991	+00.096	 1.405	  1.400	 2.389	 0.91	 0.98	 0.083	 13	 0.32	 0.006	   	277.2649	-10.5665
1G013365-003739	                    	013.365	-00.374	 0.664	  0.644	 1.225	 0.45	 0.56	 0.249	  0	 0.32	 0.003	   	273.9980	-17.5197
1G038354-001328	N72                 	038.354	-00.133	 1.497	  1.504	 2.511	 0.97	 1.01	 0.094	 13	 0.32	 0.005	   	285.4564	+04.7632
1G305263+002133	S156                	305.263	+00.213	 2.749	  2.944	 4.827	 1.87	 2.08	 0.358	  6	 0.32	 0.006	   	197.9244	-62.5670
1G045963-003839	                    	045.963	-00.384	 1.245	  1.257	 2.116	 0.81	 0.87	 0.139	 14	 0.32	 0.003	   	289.2305	+11.3974
1G003606-002144	CN42                	003.606	-00.214	 2.522	  2.529	 4.102	 1.61	 1.58	 0.075	  7	 0.32	 0.007	   	268.6969	-25.9506
1G038016-003955	                    	038.016	-00.396	 2.562	  2.281	 3.790	 1.49	 1.23	 0.455	 10	 0.32	 0.009	   	285.5357	+04.3423
1G320257-003206	                    	320.257	-00.321	 3.906	  3.635	 6.336	 2.42	 2.43	 0.366	 11	 0.32	 0.028	1  	227.5444	-58.4464
1G032762-001495	N57                 	032.762	-00.149	 0.560	  0.559	 0.944	 0.36	 0.38	 0.066	  9	 0.32	 0.001	   	282.9146	-00.2192
1G304944+004695	                    	304.944	+00.469	 1.312	  1.398	 1.775	 0.78	 0.46	 0.345	 31	 0.32	 0.005	   	197.1961	-62.3350
1G326664+005225	S79                 	326.664	+00.523	 8.162	  7.556	12.124	 4.82	 3.96	 0.378	 19	 0.32	 0.033	1  	236.2623	-54.1480
1G316095-005112	                    	316.095	-00.511	 1.161	  1.238	 1.906	 0.76	 0.74	 0.347	 22	 0.32	 0.003	   	220.4341	-60.5327
1G297314-002877	                    	297.314	-00.288	 2.482	  2.796	 4.122	 1.68	 1.64	 0.460	 34	 0.32	 0.012	   	180.5684	-62.6223
1G331667+000456	                    	331.667	+00.046	 5.066	  5.031	 6.921	 2.95	 1.86	 0.118	  6	 0.32	 0.007	   	243.0602	-51.2625
1G337488-005347	S38                 	337.488	-00.535	 1.194	  1.162	 2.305	 0.82	 1.11	 0.231	 19	 0.32	 0.003	   	249.9397	-47.4930
1G002520-000238	CN31                	002.520	-00.024	 2.370	  2.447	 3.408	 1.44	 1.04	 0.249	 20	 0.32	 0.007	   	267.8985	-26.7895
1G059797+002436	                    	059.797	+00.244	 2.226	  2.126	 3.769	 1.42	 1.54	 0.296	 11	 0.32	 0.008	   	295.6345	+23.8357
1G017318+003905	                    	017.318	+00.390	 1.107	  1.143	 2.023	 0.76	 0.92	 0.249	 10	 0.32	 0.002	   	275.2429	-13.6762
1G314234+004579	S116                	314.234	+00.458	 4.048	  3.565	 6.134	 2.37	 2.09	 0.474	 28	 0.32	 0.033	1  	216.1965	-60.3492
1G046481-002389	                    	046.481	-00.239	 4.117	  4.072	 7.509	 2.77	 3.39	 0.148	 35	 0.32	 0.017	   	289.3464	+11.9232
1G024291-001491	N34                 	024.291	-00.149	 3.638	  3.915	 4.722	 2.14	 1.08	 0.369	 36	 0.32	 0.023	   	279.0291	-07.7527
1G001328+001475	CN25                	001.328	+00.148	 1.251	  1.263	 1.962	 0.79	 0.71	 0.137	 27	 0.32	 0.002	   	267.0439	-27.7240
1G320427-002713	                    	320.427	-00.271	 2.391	  2.390	 3.804	 1.51	 1.41	 0.023	 19	 0.32	 0.006	   	227.7752	-58.3170
1G325356-000415	                    	325.356	-00.042	 1.220	  1.293	 2.026	 0.80	 0.81	 0.331	 44	 0.32	 0.005	   	235.0485	-55.3889
1G339559+002861	                    	339.559	+00.286	 1.399	  1.437	 2.199	 0.89	 0.80	 0.227	  3	 0.32	 0.003	   	251.0265	-45.3948
1G326071-004032	                    	326.071	-00.403	 4.531	  5.045	 7.130	 2.97	 2.60	 0.440	 39	 0.32	 0.022	   	236.4326	-55.2431
1G341667-003864	                    	341.667	-00.386	 4.024	  2.819	 6.490	 2.24	 2.47	 0.714	 21	 0.32	 0.008	   	253.6602	-44.2099
1G029921-000481	                    	029.921	-00.048	 1.996	  2.013	 3.047	 1.24	 1.05	 0.131	 15	 0.32	 0.037	1  	281.5283	-02.7013
1G327138-002613	S75                 	327.138	-00.261	 1.051	  0.994	 1.873	 0.69	 0.82	 0.324	 37	 0.32	 0.002	   	237.7327	-54.4695
1G052766+003333	                    	052.766	+00.333	 1.236	  1.227	 1.980	 0.78	 0.74	 0.116	 18	 0.32	 0.005	   	291.8923	+17.7351
1G009353-000214	                    	009.353	-00.021	 1.178	  0.990	 1.712	 0.66	 0.53	 0.542	 31	 0.32	 0.005	   	271.6235	-20.8653
1G025369-003614	N40                 	025.369	-00.361	 2.165	  1.969	 3.333	 1.29	 1.17	 0.416	 12	 0.31	 0.007	   	279.7180	-06.8925
1G339299+002904	                    	339.299	+00.290	 3.613	  3.390	 5.100	 2.09	 1.49	 0.346	 18	 0.31	 0.026	2  	250.7791	-45.5885
1G350769-000781	CS96                	350.769	-00.078	 0.714	  0.717	 1.122	 0.45	 0.41	 0.087	 19	 0.31	 0.003	   	260.5027	-36.7280
1G000659+006579	CN20                	000.659	+00.658	 5.182	  5.829	 7.451	 3.27	 2.27	 0.458	 25	 0.31	 0.029	   	266.1577	-28.0306
1G334401-005223	                    	334.401	-00.522	 0.752	  0.736	 1.281	 0.49	 0.53	 0.205	  7	 0.31	 0.001	   	246.7499	-49.7483
1G302967-005407	                    	302.967	-00.541	 1.305	  1.258	 2.336	 0.86	 1.03	 0.265	  3	 0.31	 0.003	   	192.9379	-63.4127
1G348860-001698	                    	348.860	-00.170	 0.758	  0.753	 1.272	 0.49	 0.51	 0.111	  0	 0.31	 0.001	   	259.2171	-38.3447
1G297242-007433	                    	297.242	-00.743	 1.723	  1.712	 2.837	 1.10	 1.11	 0.112	 24	 0.31	 0.010	1  	180.2222	-63.0550
1G037349+006876	                    	037.349	+00.688	 1.011	  0.948	 1.680	 0.64	 0.67	 0.348	 38	 0.31	 0.002	   	284.2632	+04.2446
1G012686+000107	                    	012.686	+00.011	 0.713	  0.726	 1.306	 0.49	 0.59	 0.183	 18	 0.31	 0.004	   	273.3024	-17.9323
1G024964+002566	                    	024.964	+00.257	 0.624	  0.624	 0.944	 0.38	 0.32	 0.004	  0	 0.31	 0.001	   	278.9776	-06.9684
1G350621+009387	CS100,CS102,CS98    	350.621	+00.939	10.950	  9.117	15.424	 6.03	 4.47	 0.554	 31	 0.31	 0.042	1  	259.3602	-36.2668
1G034088+004405	                    	034.088	+00.441	 1.138	  1.026	 1.971	 0.72	 0.83	 0.432	 22	 0.31	 0.002	   	282.9941	+01.2300
